% Model,Multiple Magnets Simulation_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Aug 17 2026, 10:16"
% Dimension,3
% Nodes,64
% Expressions,12
% Description,"Bx, By, Bz, Gxx, Gxy, Gxz, Gyx, Gyy, Gyz, Gzx, Gzy, Gzz"
% Length unit,m
% x,y,z,mfnc.Bx (T),mfnc.By (T),mfnc.Bz (T),d(mfnc.Bx;x) (T/m),d(mfnc.Bx;y) (T/m),d(mfnc.Bx;z) (T/m),d(mfnc.By;x) (T/m),d(mfnc.By;y) (T/m),d(mfnc.By;z) (T/m),d(mfnc.Bz;x) (T/m),d(mfnc.Bz;y) (T/m),d(mfnc.Bz;z) (T/m)
0.7142857142857142,0.7142857142857142,-0.2,-3.268203823257793E-7,-1.70199699958202E-7,1.932904737530788E-9,1.317151995726858E-6,1.6703315750035194E-6,-9.105731469002692E-7,1.6703315750035194E-6,4.577881809210737E-8,-3.7308182195651195E-7,-9.105731469002692E-7,-3.7308182195651195E-7,-1.3482682603517024E-6
1,0.7142857142857142,-0.2,-7.584505918481387E-8,3.733778082832892E-9,-4.930939556450301E-8,4.0356506086234225E-7,9.505039991236763E-8,8.911467300291164E-8,9.505039991236763E-8,-1.4336812403476868E-7,1.0858997708527751E-7,8.911467300291164E-8,1.0858997708527751E-7,-2.62786067176205E-7
-1,1,-0.2,2.7106347149370405E-8,-2.4428934659420237E-8,-1.7034057306272476E-8,4.6322866207691097E-8,-9.386690512506619E-8,-2.4065430749968744E-8,-9.386690512506619E-8,3.7256504555976606E-8,1.730488876893179E-8,-2.4065430749968744E-8,1.730488876893179E-8,-8.353722409379762E-8
-0.7142857142857143,1,-0.2,3.198957316635312E-8,-6.615756200536119E-8,-2.457417387952423E-8,-4.830041019434687E-8,-1.8527076486208846E-7,-3.066045903878261E-8,-1.8527076486208846E-7,2.641296813604733E-7,4.597113734189692E-9,-3.066045903878261E-8,4.597113734189692E-9,-2.1460604226612007E-7
-0.4285714285714286,1,-0.2,-6.084444535021481E-9,-8.838570740588774E-8,-4.0034800078982325E-8,-1.2490479353388768E-7,1.0844483513093933E-7,-7.953056182134484E-8,1.0844483513093933E-7,4.6629865721899135E-7,4.4351060078326735E-8,-7.953056182134484E-8,4.4351060078326735E-8,-3.4757963024860954E-7
-0.1428571428571429,1,-0.2,1.2268906069310303E-8,-5.20622019606376E-8,-5.233798541159524E-8,2.00304639385141E-7,-1.4189730450282592E-10,1.5496233322642625E-8,-1.4189730450282592E-10,9.25666423826672E-8,1.4423196572635648E-7,1.5496233322642625E-8,1.4423196572635648E-7,-2.922079871033943E-7
0.1428571428571428,1,-0.2,5.1623397462031666E-8,-1.084368953350709E-7,-3.585627815087386E-8,-1.6181474098917467E-8,-3.4159711853085293E-7,8.460989382051719E-8,-3.4159711853085293E-7,3.995590136006501E-7,3.0919660777337682E-9,8.460989382051719E-8,3.0919660777337682E-9,-3.846411379186859E-7
0.4285714285714284,1,-0.2,-1.8486374651622963E-8,-1.688864852939145E-7,-1.9713123682256755E-8,-3.7315333290324E-7,7.887481917624872E-8,-4.226089451366228E-9,7.887481917624872E-8,8.775494354714657E-7,-1.476319568258158E-7,-4.226089451366228E-9,-1.476319568258158E-7,-5.085412900165425E-7
0.7142857142857142,1,-0.2,-7.121387489409711E-8,-8.090265719197318E-8,-3.004166207237139E-8,3.606018457112523E-8,3.5886016661780385E-7,-2.4107117268056225E-8,3.5886016661780385E-7,2.800621442733238E-7,2.3951337515033416E-8,-2.4107117268056225E-8,2.3951337515033416E-8,-3.139729891211778E-7
1,1,-0.2,-4.008648311543069E-8,-1.5238012482098385E-8,-2.6916088929466183E-8,1.1738446604627171E-7,1.1238430745002181E-7,3.2941705215186384E-8,1.1238430745002181E-7,-8.222943150679083E-9,5.391796331019904E-8,3.2941705215186384E-8,5.391796331019904E-8,-1.093242168397063E-7
